Batting,Dissmissal,R,B,M,4s,6s,Match,innings,match_id
Rohit Sharma (c),c Klaasen b Maharaj,9,5,7,2,0,India vs South Africa,India,1
Virat Kohli,c Rabada b Jansen,76,59,87,6,2,India vs South Africa,India,1
Rishabh Pant †,c †de Kock b Maharaj,0,2,2,0,0,India vs South Africa,India,1
Suryakumar Yadav,c Klaasen b Rabada,3,4,9,0,0,India vs South Africa,India,1
Axar Patel,run out (†de Kock),47,31,38,1,4,India vs South Africa,India,1
Shivam Dube,c Miller b Nortje,27,16,32,3,1,India vs South Africa,India,1
Hardik Pandya,not out,5,2,7,1,0,India vs South Africa,India,1
Ravindra Jadeja,c Maharaj b Nortje,2,2,1,0,0,India vs South Africa,India,1
Reeza Hendricks,b Bumrah,4,5,6,1,0,India vs South Africa,India,1
Quinton de Kock †,c Kuldeep Yadav b Arshdeep Singh,39,31,54,4,1,India vs South Africa,India,1
Aiden Markram (c),c †Pant b Arshdeep Singh,4,5,4,1,0,India vs South Africa,India,1
Tristan Stubbs,b Patel,31,21,24,3,1,India vs South Africa,India,1
Heinrich Klaasen,c †Pant b Pandya,52,27,33,2,5,India vs South Africa,India,1
David Miller,c Yadav b Pandya,21,17,37,1,1,India vs South Africa,India,1
Marco Jansen,b Bumrah,2,4,7,0,0,India vs South Africa,India,1
Keshav Maharaj,not out,2,7,18,0,0,India vs South Africa,India,1
Kagiso Rabada,c Yadav b Pandya,4,3,5,1,0,India vs South Africa,India,1
Anrich Nortje,not out,1,1,1,0,0,India vs South Africa,India,1
Rohit Sharma (c),b Rashid,57,39,57,6,2,India vs England,India,2
Virat Kohli,b Topley,9,9,10,0,1,India vs England,India,2
Rishabh Pant †,c Bairstow b Curran,4,6,12,0,0,India vs England,India,2
Suryakumar Yadav,c Jordan b Archer,47,36,40,4,2,India vs England,India,2
Hardik Pandya,c Curran b Jordan,23,13,17,1,2,India vs England,India,2
Ravindra Jadeja,not out,17,9,24,2,0,India vs England,India,2
Shivam Dube,c †Buttler b Jordan,0,1,1,0,0,India vs England,India,2
Axar Patel,c Salt b Jordan,10,6,10,0,1,India vs England,India,2
Arshdeep Singh,not out,1,1,1,0,0,India vs England,India,2
Phil Salt,b Bumrah,5,8,20,0,0,India vs England,India,2
Jos Buttler (c)†,c †Pant b Patel,23,15,13,4,0,India vs England,India,2
Moeen Ali,st †Pant b Patel,8,10,18,0,0,India vs England,India,2
Jonny Bairstow,b Patel,0,3,2,0,0,India vs England,India,2
Harry Brook,b Kuldeep Yadav,25,19,21,3,0,India vs England,India,2
Sam Curran,lbw b Kuldeep Yadav,2,4,4,0,0,India vs England,India,2
Liam Livingstone,run out (Kuldeep Yadav/Patel),11,16,24,0,0,India vs England,India,2
Chris Jordan,lbw b Kuldeep Yadav,1,5,6,0,0,India vs England,India,2
Jofra Archer,lbw b Bumrah,21,15,17,1,2,India vs England,India,2
Adil Rashid,run out (Yadav),2,2,2,0,0,India vs England,India,2
Reece Topley,not out,3,3,6,0,0,India vs England,India,2
Rahmanullah Gurbaz †,c Hendricks b Jansen,0,3,5,0,0,Afghanistan vs South Africa,Afghanistan,3
Ibrahim Zadran,b Rabada,2,5,15,0,0,Afghanistan vs South Africa,Afghanistan,3
Gulbadin Naib,b Jansen,9,8,6,2,0,Afghanistan vs South Africa,Afghanistan,3
Azmatullah Omarzai,c Stubbs b Nortje,10,12,18,2,0,Afghanistan vs South Africa,Afghanistan,3
Mohammad Nabi,b Rabada,0,3,1,0,0,Afghanistan vs South Africa,Afghanistan,3
Nangeyalia Kharote,c †de Kock b Jansen,2,7,5,0,0,Afghanistan vs South Africa,Afghanistan,3
Karim Janat,lbw b Shamsi,8,13,22,1,0,Afghanistan vs South Africa,Afghanistan,3
Rashid Khan (c),b Nortje,8,8,20,2,0,Afghanistan vs South Africa,Afghanistan,3
Noor Ahmad,lbw b Shamsi,0,2,2,0,0,Afghanistan vs South Africa,Afghanistan,3
Naveen-ul-Haq,lbw b Shamsi,2,8,9,0,0,Afghanistan vs South Africa,Afghanistan,3
Fazalhaq Farooqi,not out,2,2,6,0,0,Afghanistan vs South Africa,Afghanistan,3
Quinton de Kock †,b Fazalhaq Farooqi,5,8,7,1,0,Afghanistan vs South Africa,Afghanistan,3
Reeza Hendricks,not out,29,25,44,3,1,Afghanistan vs South Africa,Afghanistan,3
Aiden Markram (c),not out,23,21,35,4,0,Afghanistan vs South Africa,Afghanistan,3
Rahmanullah Gurbaz †,c Soumya Sarkar b Rishad Hossain,43,55,69,3,1,Afghanistan vs Bangladesh,Afghanistan,4
Ibrahim Zadran,c Tanzim Hasan Sakib b Rishad Hossain,18,29,46,1,0,Afghanistan vs Bangladesh,Afghanistan,4
Azmatullah Omarzai,c †Litton Das b Mustafizur Rahman,10,12,20,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Gulbadin Naib,c Soumya Sarkar b Rishad Hossain,4,3,4,1,0,Afghanistan vs Bangladesh,Afghanistan,4
Mohammad Nabi,c Najmul Hossain Shanto b Taskin Ahmed,1,5,6,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Karim Janat,not out,7,6,15,1,0,Afghanistan vs Bangladesh,Afghanistan,4
Rashid Khan (c),not out,19,10,10,0,3,Afghanistan vs Bangladesh,Afghanistan,4
Litton Das †,not out,54,49,95,5,1,Afghanistan vs Bangladesh,Afghanistan,4
Tanzid Hasan,lbw b Fazalhaq Farooqi,0,3,12,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Najmul Hossain Shanto (c),c Mohammad Nabi b Naveen-ul-Haq,5,5,7,1,0,Afghanistan vs Bangladesh,Afghanistan,4
Shakib Al Hasan,c & b Naveen-ul-Haq,0,1,1,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Soumya Sarkar,b Rashid Khan,10,10,18,1,0,Afghanistan vs Bangladesh,Afghanistan,4
Towhid Hridoy,c Ibrahim Zadran b Rashid Khan,14,9,7,2,0,Afghanistan vs Bangladesh,Afghanistan,4
Mahmudullah,c sub (†Mohammad Ishaq) b Rashid Khan,6,9,8,1,0,Afghanistan vs Bangladesh,Afghanistan,4
Rishad Hossain,b Rashid Khan,0,1,1,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Tanzim Hasan Sakib,c Mohammad Nabi b Gulbadin Naib,3,10,13,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Taskin Ahmed,b Naveen-ul-Haq,2,9,31,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Mustafizur Rahman,lbw b Naveen-ul-Haq,0,1,1,0,0,Afghanistan vs Bangladesh,Afghanistan,4
Rohit Sharma (c),b Starc,92,41,59,7,8,India vs Australia,India,5
Virat Kohli,c David b Hazlewood,0,5,8,0,0,India vs Australia,India,5
Rishabh Pant †,c Hazlewood b Stoinis,15,14,33,1,1,India vs Australia,India,5
Suryakumar Yadav,c †Wade b Starc,31,16,29,3,2,India vs Australia,India,5
Shivam Dube,c Warner b Stoinis,28,22,33,2,1,India vs Australia,India,5
Hardik Pandya,not out,27,17,24,1,2,India vs Australia,India,5
Ravindra Jadeja,not out,9,5,4,0,1,India vs Australia,India,5
David Warner,c Yadav b Arshdeep Singh,6,6,5,1,0,India vs Australia,India,5
Travis Head,c Sharma b Bumrah,76,43,76,9,4,India vs Australia,India,5
Mitchell Marsh (c),c Patel b Kuldeep Yadav,37,28,38,3,2,India vs Australia,India,5
Glenn Maxwell,b Kuldeep Yadav,20,12,15,2,1,India vs Australia,India,5
Marcus Stoinis,c Pandya b Patel,2,4,4,0,0,India vs Australia,India,5
Tim David,c Bumrah b Arshdeep Singh,15,11,22,1,1,India vs Australia,India,5
Matthew Wade †,c Kuldeep Yadav b Arshdeep Singh,1,2,5,0,0,India vs Australia,India,5
Pat Cummins,not out,11,7,15,0,1,India vs Australia,India,5
Mitchell Starc,not out,4,7,9,0,0,India vs Australia,India,5
Kyle Mayers,c Stubbs b Shamsi,35,34,53,3,2,West Indies vs South Africa,West Indies,6
Shai Hope,c Stubbs b Jansen,0,1,3,0,0,West Indies vs South Africa,West Indies,6
Nicholas Pooran †,c Jansen b Markram,1,3,4,0,0,West Indies vs South Africa,West Indies,6
Roston Chase,c Rabada b Shamsi,52,42,59,3,2,West Indies vs South Africa,West Indies,6
Rovman Powell (c),st †de Kock b Maharaj,1,2,2,0,0,West Indies vs South Africa,West Indies,6
Sherfane Rutherford,c Markram b Shamsi,0,4,5,0,0,West Indies vs South Africa,West Indies,6
Andre Russell,run out (Nortje),15,9,15,0,2,West Indies vs South Africa,West Indies,6
Akeal Hosein,c & b Rabada,6,11,12,1,0,West Indies vs South Africa,West Indies,6
Alzarri Joseph,not out,11,7,14,0,1,West Indies vs South Africa,West Indies,6
Gudakesh Motie,not out,4,7,10,1,0,West Indies vs South Africa,West Indies,6
Quinton de Kock †,c Rutherford b Russell,12,7,10,3,0,West Indies vs South Africa,West Indies,6
Reeza Hendricks,c †Pooran b Russell,0,1,5,0,0,West Indies vs South Africa,West Indies,6
Aiden Markram (c),c Mayers b Joseph,18,15,20,2,0,West Indies vs South Africa,West Indies,6
Tristan Stubbs,c Mayers b Chase,29,27,55,4,0,West Indies vs South Africa,West Indies,6
Heinrich Klaasen,c †Pooran b Joseph,22,10,13,3,1,West Indies vs South Africa,West Indies,6
David Miller,b Chase,4,14,18,0,0,West Indies vs South Africa,West Indies,6
Marco Jansen,not out,21,14,22,1,1,West Indies vs South Africa,West Indies,6
Keshav Maharaj,c Joseph b Chase,2,6,9,0,0,West Indies vs South Africa,West Indies,6
Kagiso Rabada,not out,5,3,5,1,0,West Indies vs South Africa,West Indies,6
Steven Taylor,c Ali b Curran,12,13,25,2,0,U.S.A. vs England,United States of America,7
Andries Gous †,c Salt b Topley,8,5,4,0,1,U.S.A. vs England,United States of America,7
Nitish Kumar,b Rashid,30,24,38,1,2,U.S.A. vs England,United States of America,7
Aaron Jones (c),b Rashid,10,16,10,2,0,U.S.A. vs England,United States of America,7
Corey Anderson,c Brook b Jordan,29,28,43,0,1,U.S.A. vs England,United States of America,7
Milind Kumar,c †Buttler b Livingstone,4,6,13,0,0,U.S.A. vs England,United States of America,7
Harmeet Singh,c Jordan b Curran,21,17,19,2,1,U.S.A. vs England,United States of America,7
Shadley van Schalkwyk,not out,0,0,7,0,0,U.S.A. vs England,United States of America,7
Ali Khan,b Jordan,0,2,1,0,0,U.S.A. vs England,United States of America,7
Nosthush Kenjige,lbw b Jordan,0,1,1,0,0,U.S.A. vs England,United States of America,7
Saurabh Netravalkar,b Jordan,0,1,1,0,0,U.S.A. vs England,United States of America,7
Phil Salt,not out,25,21,44,2,0,U.S.A. vs England,United States of America,7
Jos Buttler (c)†,not out,83,38,44,6,7,U.S.A. vs England,United States of America,7
Rahmanullah Gurbaz †,c Warner b Stoinis,60,49,66,4,4,Afghanistan vs Australia,Afghanistan,8
Ibrahim Zadran,c Marsh b Zampa,51,48,73,6,0,Afghanistan vs Australia,Afghanistan,8
Azmatullah Omarzai,b Zampa,2,3,2,0,0,Afghanistan vs Australia,Afghanistan,8
Karim Janat,c David b Cummins,13,9,13,0,1,Afghanistan vs Australia,Afghanistan,8
Rashid Khan (c),c David b Cummins,2,5,4,0,0,Afghanistan vs Australia,Afghanistan,8
Mohammad Nabi,not out,10,4,10,2,0,Afghanistan vs Australia,Afghanistan,8
Gulbadin Naib,c Maxwell b Cummins,0,1,12,0,0,Afghanistan vs Australia,Afghanistan,8
Nangeyalia Kharote,not out,1,1,2,0,0,Afghanistan vs Australia,Afghanistan,8
Travis Head,b Naveen-ul-Haq,0,3,2,0,0,Afghanistan vs Australia,Afghanistan,8
David Warner,c Noor Ahmad b Mohammad Nabi,3,8,27,0,0,Afghanistan vs Australia,Afghanistan,8
Mitchell Marsh (c),c Mohammad Nabi b Naveen-ul-Haq,12,9,9,2,0,Afghanistan vs Australia,Afghanistan,8
Glenn Maxwell,c Noor Ahmad b Gulbadin Naib,59,41,58,6,3,Afghanistan vs Australia,Afghanistan,8
Marcus Stoinis,c †Rahmanullah Gurbaz b Gulbadin Naib,11,17,20,1,0,Afghanistan vs Australia,Afghanistan,8
Tim David,lbw b Gulbadin Naib,2,4,9,0,0,Afghanistan vs Australia,Afghanistan,8
Matthew Wade †,c Karim Janat b Rashid Khan,5,7,16,0,0,Afghanistan vs Australia,Afghanistan,8
Pat Cummins,b Gulbadin Naib,3,9,9,0,0,Afghanistan vs Australia,Afghanistan,8
Ashton Agar,c Gulbadin Naib b Naveen-ul-Haq,2,5,10,0,0,Afghanistan vs Australia,Afghanistan,8
Adam Zampa,c Mohammad Nabi b Azmatullah Omarzai,9,7,15,1,0,Afghanistan vs Australia,Afghanistan,8
Josh Hazlewood,not out,5,7,10,0,0,Afghanistan vs Australia,Afghanistan,8
Rohit Sharma (c),c Jaker Ali b Shakib Al Hasan,23,11,14,3,1,India vs Bangladesh,India,9
Virat Kohli,b Tanzim Hasan Sakib,37,28,34,1,3,India vs Bangladesh,India,9
Rishabh Pant †,c Tanzim Hasan Sakib b Rishad Hossain,36,24,36,4,2,India vs Bangladesh,India,9
Suryakumar Yadav,c †Litton Das b Tanzim Hasan Sakib,6,2,2,0,1,India vs Bangladesh,India,9
Shivam Dube,b Rishad Hossain,34,24,38,0,3,India vs Bangladesh,India,9
Hardik Pandya,not out,50,27,38,4,3,India vs Bangladesh,India,9
Axar Patel,not out,3,5,13,0,0,India vs Bangladesh,India,9
Litton Das †,c Yadav b Pandya,13,10,20,1,1,India vs Bangladesh,India,9
Tanzid Hasan,lbw b Kuldeep Yadav,29,31,41,4,0,India vs Bangladesh,India,9
Najmul Hossain Shanto (c),c Arshdeep Singh b Bumrah,40,32,46,1,3,India vs Bangladesh,India,9
Towhid Hridoy,lbw b Kuldeep Yadav,4,6,6,0,0,India vs Bangladesh,India,9
Shakib Al Hasan,c Sharma b Kuldeep Yadav,11,7,7,1,1,India vs Bangladesh,India,9
Mahmudullah,c Patel b Arshdeep Singh,13,15,30,1,0,India vs Bangladesh,India,9
Jaker Ali,c Kohli b Arshdeep Singh,1,4,3,0,0,India vs Bangladesh,India,9
Rishad Hossain,c Sharma b Bumrah,24,10,9,1,3,India vs Bangladesh,India,9
Mahedi Hasan,not out,5,4,7,1,0,India vs Bangladesh,India,9
Tanzim Hasan Sakib,not out,1,1,1,0,0,India vs Bangladesh,India,9
Steven Taylor,c Chase b Russell,2,7,5,0,0,West Indies vs U.S.A.,United States of America,10
Andries Gous †,c Hope b Joseph,29,16,37,3,1,West Indies vs U.S.A.,United States of America,10
Nitish Kumar,lbw b Motie,20,19,23,2,0,West Indies vs U.S.A.,United States of America,10
Aaron Jones (c),b Chase,11,11,12,0,1,West Indies vs U.S.A.,United States of America,10
Corey Anderson,lbw b Chase,7,15,23,0,0,West Indies vs U.S.A.,United States of America,10
Milind Kumar,run out (Motie/Russell),19,21,35,1,0,West Indies vs U.S.A.,United States of America,10
Harmeet Singh,c Charles b Chase,0,1,1,0,0,West Indies vs U.S.A.,United States of America,10
Shadley van Schalkwyk,c Charles b Russell,18,17,17,3,0,West Indies vs U.S.A.,United States of America,10
Nosthush Kenjige,c †Pooran b Joseph,1,3,8,0,0,West Indies vs U.S.A.,United States of America,10
Ali Khan,not out,14,6,11,1,1,West Indies vs U.S.A.,United States of America,10
Saurabh Netravalkar,c Powell b Russell,0,4,4,0,0,West Indies vs U.S.A.,United States of America,10
Shai Hope,not out,82,39,-,4,8,West Indies vs U.S.A.,United States of America,10
Johnson Charles,c Milind Kumar b Harmeet Singh,15,14,-,2,0,West Indies vs U.S.A.,United States of America,10
Nicholas Pooran †,not out,27,12,-,1,3,West Indies vs U.S.A.,United States of America,10
Reeza Hendricks,c Brook b Ali,19,25,41,1,0,South Africa vs England,South Africa,11
Quinton de Kock †,c †Buttler b Archer,65,38,50,4,4,South Africa vs England,South Africa,11
Heinrich Klaasen,run out (†Buttler),8,13,21,1,0,South Africa vs England,South Africa,11
David Miller,c Brook b Archer,43,28,40,4,2,South Africa vs England,South Africa,11
Aiden Markram (c),b Rashid,1,2,4,0,0,South Africa vs England,South Africa,11
Tristan Stubbs,not out,12,11,28,1,0,South Africa vs England,South Africa,11
Marco Jansen,c Curran b Archer,0,1,1,0,0,South Africa vs England,South Africa,11
Keshav Maharaj,not out,5,2,3,1,0,South Africa vs England,South Africa,11
Phil Salt,c Hendricks b Rabada,11,8,8,1,1,South Africa vs England,South Africa,11
Jos Buttler (c)†,c Klaasen b Maharaj,17,20,38,1,0,South Africa vs England,South Africa,11
Jonny Bairstow,c Nortje b Maharaj,16,20,20,1,0,South Africa vs England,South Africa,11
Moeen Ali,c Maharaj b Baartman,9,10,15,0,0,South Africa vs England,South Africa,11
Harry Brook,c Markram b Nortje,53,37,50,7,0,South Africa vs England,South Africa,11
Liam Livingstone,c Stubbs b Rabada,33,17,33,3,2,South Africa vs England,South Africa,11
Sam Curran,not out,10,7,14,1,0,South Africa vs England,South Africa,11
Jofra Archer,not out,1,2,4,0,0,South Africa vs England,South Africa,11
Tanzid Hasan,b Starc,0,3,2,0,0,Bangladesh vs Australia,Bangladesh,12
Litton Das †,b Zampa,16,25,42,2,0,Bangladesh vs Australia,Bangladesh,12
Najmul Hossain Shanto (c),lbw b Zampa,41,36,57,5,1,Bangladesh vs Australia,Bangladesh,12
Rishad Hossain,c Zampa b Maxwell,2,4,5,0,0,Bangladesh vs Australia,Bangladesh,12
Towhid Hridoy,c Hazlewood b Cummins,40,28,40,2,2,Bangladesh vs Australia,Bangladesh,12
Shakib Al Hasan,c & b Stoinis,8,10,27,0,0,Bangladesh vs Australia,Bangladesh,12
Mahmudullah,b Cummins,2,3,7,0,0,Bangladesh vs Australia,Bangladesh,12
Mahedi Hasan,c Zampa b Cummins,0,1,1,0,0,Bangladesh vs Australia,Bangladesh,12
Taskin Ahmed,not out,13,7,9,1,0,Bangladesh vs Australia,Bangladesh,12
Tanzim Hasan Sakib,not out,4,3,3,0,0,Bangladesh vs Australia,Bangladesh,12
David Warner,not out,53,35,52,5,3,Bangladesh vs Australia,Bangladesh,12
Travis Head,b Rishad Hossain,31,21,30,3,2,Bangladesh vs Australia,Bangladesh,12
Mitchell Marsh (c),lbw b Rishad Hossain,1,6,8,0,0,Bangladesh vs Australia,Bangladesh,12
Glenn Maxwell,not out,14,6,12,1,1,Bangladesh vs Australia,Bangladesh,12
Rohit Sharma (c),c Rashid Khan b Fazalhaq Farooqi,8,13,13,1,0,India vs Afghanistan,India,13
Virat Kohli,c Mohammad Nabi b Rashid Khan,24,24,41,0,1,India vs Afghanistan,India,13
Rishabh Pant †,lbw b Rashid Khan,20,11,20,4,0,India vs Afghanistan,India,13
Suryakumar Yadav,c Mohammad Nabi b Fazalhaq Farooqi,53,28,51,5,3,India vs Afghanistan,India,13
Shivam Dube,lbw b Rashid Khan,10,7,11,0,1,India vs Afghanistan,India,13
Hardik Pandya,c Azmatullah Omarzai b Naveen-ul-Haq,32,24,40,3,2,India vs Afghanistan,India,13
Ravindra Jadeja,c Gulbadin Naib b Fazalhaq Farooqi,7,5,11,1,0,India vs Afghanistan,India,13
Axar Patel,run out (†Rahmanullah Gurbaz/Naveen-ul-Haq),12,6,11,2,0,India vs Afghanistan,India,13
Arshdeep Singh,not out,2,2,8,0,0,India vs Afghanistan,India,13
Rahmanullah Gurbaz †,c †Pant b Bumrah,11,8,7,1,1,India vs Afghanistan,India,13
Hazratullah Zazai,c Jadeja b Bumrah,2,4,20,0,0,India vs Afghanistan,India,13
Ibrahim Zadran,c Sharma b Patel,8,11,9,1,0,India vs Afghanistan,India,13
